pipeline_id,job_id,name,status,started_at,finished_at,sha,duration_minutes
2875,10051,build,failed,2024-05-10 08:09:01.829,2024-05-10 08:09:13.643,5a6242cf805c0175c3917c1679e87e749cf3573f,0.2
2875,10052,test,failed,2024-05-10 08:18:26.783,2024-05-10 08:19:26.150,5a6242cf805c0175c3917c1679e87e749cf3573f,1.0
2875,10054,container_scanning,skipped,,,5a6242cf805c0175c3917c1679e87e749cf3573f,0.0
2875,10055,gemnasium-maven-dependency_scanning,skipped,,,5a6242cf805c0175c3917c1679e87e749cf3573f,0.0
2875,10058,dast,skipped,,,5a6242cf805c0175c3917c1679e87e749cf3573f,0.0
2878,10067,code_quality,failed,2024-05-10 08:39:18.115,2024-05-10 08:39:42.209,37767aa01704ab9add63fcdbce4e493210ec7040,0.4
2878,10068,container_scanning,skipped,,,37767aa01704ab9add63fcdbce4e493210ec7040,0.0
2885,10093,test,failed,2024-05-10 14:21:42.799,2024-05-10 14:22:22.939,f47fa44cee974830fac0d2636e4815ec39d24883,0.67
2885,10096,gemnasium-maven-dependency_scanning,skipped,,,f47fa44cee974830fac0d2636e4815ec39d24883,0.0
2893,10124,discovery,success,2024-05-13 08:16:55.216,2024-05-13 08:17:41.779,9c661b0f501c517dc2cc09e105c8615f51beb017,0.77
2897,10133,container_scanning,skipped,,,8287b110ef68799fd0e234ef893a6d621ff0cc63,0.0
2897,10134,gemnasium-maven-dependency_scanning,skipped,,,8287b110ef68799fd0e234ef893a6d621ff0cc63,0.0
2897,10136,secret_detection,skipped,,,8287b110ef68799fd0e234ef893a6d621ff0cc63,0.0
2898,10138,build,failed,2024-05-13 08:50:33.513,2024-05-13 08:50:44.651,04abd42a31eb4e91205dc6593b5b112da120d8df,0.18
2898,10142,gemnasium-maven-dependency_scanning,skipped,,,04abd42a31eb4e91205dc6593b5b112da120d8df,0.0
2898,10145,dast,skipped,,,04abd42a31eb4e91205dc6593b5b112da120d8df,0.0
2901,10149,accounts,success,2024-05-13 09:01:52.084,2024-05-13 09:03:00.814,b37fb772bbd55d71699a3ec60152da15d07f26c8,1.13
2901,10150,cards,success,2024-05-13 09:03:03.512,2024-05-13 09:03:57.134,b37fb772bbd55d71699a3ec60152da15d07f26c8,0.9
2901,10152,discovery,failed,2024-05-13 09:04:51.857,2024-05-13 09:05:21.502,b37fb772bbd55d71699a3ec60152da15d07f26c8,0.5
2902,10156,code_quality,failed,2024-05-13 09:07:42.139,2024-05-13 09:08:09.066,21cfd3a022a951df6f5f0597b8dad1491e03e876,0.45
2903,10164,accounts,success,2024-05-13 09:46:52.556,2024-05-13 09:47:51.013,2ab553b6a271d7563b422296ddbcdc6b7cd7d3e3,0.98
2903,10165,cards,success,2024-05-13 09:49:15.511,2024-05-13 09:50:11.214,2ab553b6a271d7563b422296ddbcdc6b7cd7d3e3,0.93
2903,10167,discovery,success,2024-05-13 09:51:10.366,2024-05-13 09:52:01.162,2ab553b6a271d7563b422296ddbcdc6b7cd7d3e3,0.85
2906,10177,container_scanning,skipped,,,e128b029dab79400166d01cc75357d224dcb5b5f,0.0
2906,10178,gemnasium-maven-dependency_scanning,skipped,,,e128b029dab79400166d01cc75357d224dcb5b5f,0.0
2906,10179,semgrep-sast,skipped,,,e128b029dab79400166d01cc75357d224dcb5b5f,0.0
2906,10180,secret_detection,skipped,,,e128b029dab79400166d01cc75357d224dcb5b5f,0.0
2909,10185,test,canceled,,2024-05-13 10:18:46.259,f3a370e8a47fa86af09fb5eac7031dc29c267a2c,0.0
2909,10189,semgrep-sast,canceled,,2024-05-13 10:18:46.316,f3a370e8a47fa86af09fb5eac7031dc29c267a2c,0.0
2909,10191,dast,canceled,,2024-05-13 10:18:46.329,f3a370e8a47fa86af09fb5eac7031dc29c267a2c,0.0
2910,10194,code_quality,canceled,,2024-05-13 10:24:36.183,2641234cfaff7fed67f76c3b3044b0b4e9c9611c,0.0
2910,10195,container_scanning,canceled,,2024-05-13 10:24:36.201,2641234cfaff7fed67f76c3b3044b0b4e9c9611c,0.0
2911,10200,build,failed,2024-05-13 10:44:35.655,2024-05-13 10:44:44.538,9ba722b3723258d7e3bee87b7fe5dfa850f3423c,0.15
2911,10203,container_scanning,skipped,,,9ba722b3723258d7e3bee87b7fe5dfa850f3423c,0.0
2911,10204,gemnasium-maven-dependency_scanning,skipped,,,9ba722b3723258d7e3bee87b7fe5dfa850f3423c,0.0
2911,10205,semgrep-sast,skipped,,,9ba722b3723258d7e3bee87b7fe5dfa850f3423c,0.0
2913,10212,test,canceled,,2024-05-13 10:25:40.542,85e28257840f0bad26f641154237406047408b57,0.0
2913,10214,container_scanning,canceled,,2024-05-13 10:25:40.566,85e28257840f0bad26f641154237406047408b57,0.0
2913,10215,gemnasium-maven-dependency_scanning,canceled,,2024-05-13 10:25:40.572,85e28257840f0bad26f641154237406047408b57,0.0
2914,10219,build,canceled,,2024-05-13 10:29:10.259,ea28b857a065bb8d0ce0a1871581288409a87448,0.0
2914,10220,test,canceled,,2024-05-13 10:29:10.270,ea28b857a065bb8d0ce0a1871581288409a87448,0.0
2914,10223,gemnasium-maven-dependency_scanning,canceled,,2024-05-13 10:29:10.324,ea28b857a065bb8d0ce0a1871581288409a87448,0.0
2915,10228,test,canceled,,2024-05-13 10:30:35.792,1c17014140c39d9a9908aa234074644f89e5f596,0.0
2915,10229,code_quality,canceled,,2024-05-13 10:30:35.802,1c17014140c39d9a9908aa234074644f89e5f596,0.0
