mr_id,title,author,state,created_at,merged_at,merge_time_hours,TicketKey
1,feature/add-cards-domain,e6fda5b6,merged,2024-04-02 15:43:51,2024-04-02 15:46:22,0.04,
10,Feature/add product domain,d5ec8f59,merged,2024-05-02 09:44:58,2024-06-10 10:45:58,937.02,
100,Feature/add ve aggregate,c82282e6,merged,2024-06-19 09:13:39,2024-07-16 11:18:13,650.08,
1000,Feat mbc 394 fix api get cdi details,6029dd24,merged,2025-08-26 07:58:20,2025-08-26 08:13:39,0.26,
1001,Feat mbc 395 fix api getlist ve,6029dd24,merged,2025-08-26 07:59:46,2025-08-26 08:15:37,0.26,
1002,fix/term-deposit,e6fda5b6,merged,2025-08-26 08:16:01,2025-08-26 08:19:59,0.07,
1003,fix/MWBR-849/termDeposit,a94a3fd1,merged,2025-08-26 08:35:14,2025-08-26 08:39:53,0.08,MWBR-849
1004,sort file updates,e11b7adb,merged,2025-08-26 10:03:45,2025-08-26 11:27:17,1.39,
1005,Mbc 393 batch international bank,c82282e6,merged,2025-08-29 08:02:35,2025-08-29 09:01:05,0.98,
1006,fix: update eve param for get cheque book status api,d5ec8f59,merged,2025-08-29 10:15:15,2025-09-01 07:43:07,69.46,
1007,Feat mbc 397 api country code,2521bef3,merged,2025-08-29 10:59:46,2025-09-11 09:22:12,310.37,
1008,Fix injection file,3d946cae,merged,2025-09-01 10:49:47,2025-09-02 16:16:31,29.45,
1009,update mock,e11b7adb,merged,2025-09-01 14:01:22,2025-09-01 15:03:38,1.04,
101,Feature/mbc 7 recup ref banque,ddcb93f9,merged,2024-06-19 10:09:51,2024-07-01 12:43:30,290.56,
1010,Squashed commit of the following:,e6fda5b6,opened,2025-09-01 14:14:40,,0.0,
1011,update mapper,e11b7adb,merged,2025-09-02 15:28:16,2025-09-02 16:19:03,0.85,
1012,update cron jobs,d5ec8f59,closed,2025-09-02 15:33:51,,0.0,
1013,problème d’autorisation des notifications,3d946cae,merged,2025-09-03 09:26:36,2025-09-05 07:43:52,46.29,
1014,fix/MWBR-850/fix-process-batch-cards,a94a3fd1,merged,2025-09-03 09:51:28,2025-09-09 10:29:06,144.63,MWBR-850
1015,update VeQueryProcessManagerImpl,6029dd24,merged,2025-09-03 14:51:46,2025-09-05 07:42:06,40.84,
1016,fixe api sort by end to end id,3d946cae,merged,2025-09-05 13:11:32,2025-09-11 09:03:27,139.87,
1017,fix dd file validation,e11b7adb,merged,2025-09-08 14:39:25,2025-09-09 10:31:07,19.86,
1018,update URL term deposit,e11b7adb,merged,2025-09-08 14:57:42,2025-09-09 10:31:21,19.56,
1019,fix/MWBR-862/future-movements-currency,a94a3fd1,merged,2025-09-09 10:41:38,2025-09-09 13:38:39,2.95,MWBR-862
102,Fix/fix domain account,e11b7adb,merged,2024-06-20 10:34:05,2024-06-20 16:58:09,6.4,
1020,fix InsertVeRequest,6029dd24,merged,2025-09-09 13:52:10,2025-09-17 13:04:16,191.2,
1021,add endpoint sort,e11b7adb,merged,2025-09-09 14:43:32,2025-09-09 14:45:20,0.03,
1022,fix end to end id,3d946cae,merged,2025-09-10 07:32:59,2025-09-10 09:53:38,2.34,
1023,Commit_filtreApi_listeVr&CDI,2521bef3,merged,2025-09-10 10:10:19,2025-09-11 09:23:11,23.21,
1024,update landing page,d5ec8f59,merged,2025-09-10 15:14:54,2025-09-10 15:57:01,0.7,
1025,fix get cheque book status,d5ec8f59,merged,2025-09-10 15:16:22,2025-09-10 15:57:15,0.68,
1026,add creditor chapter validation for stepUp account,d5ec8f59,merged,2025-09-10 15:24:48,2025-09-10 15:59:35,0.58,
1027,fix/MWBR-BILLS/currency-string,a94a3fd1,merged,2025-09-10 15:48:29,2025-09-10 15:49:39,0.02,
1028,fix/MWBR-866/fix-cheque-amount-decimals,a94a3fd1,merged,2025-09-11 07:01:57,2025-09-11 12:29:43,5.46,MWBR-866
1029,"""Revert """"Merge branch 'fix/MWBR-BILLS/currency-string' into 'develop'""""""",a94a3fd1,merged,2025-09-11 08:46:59,2025-09-11 08:49:39,0.04,
103,feat(parametrs): add consommation api exchange rate list,e11b7adb,opened,2024-06-20 13:13:15,,0.0,
1030,Feat/ add cancel direct debit auth endpoint,d5ec8f59,merged,2025-09-11 09:19:15,2025-09-11 13:31:17,4.2,
1031,fix authorized date for request card pin,d5ec8f59,merged,2025-09-11 12:28:11,2025-09-11 13:30:46,1.04,
1032,Fix/mwbr 867/contract create card,a94a3fd1,merged,2025-09-11 12:31:15,2025-09-11 13:10:24,0.65,
1033,feat/MWBR-869/transferredRIBs,a94a3fd1,merged,2025-09-11 14:00:15,2025-09-11 14:08:28,0.14,MWBR-869
1034,Fix/mwbr 847/fix sort create & reload by end to end,a94a3fd1,merged,2025-09-11 15:22:18,2025-09-15 13:36:16,94.23,
1035,Add/end to end,3d946cae,opened,2025-09-11 15:48:09,,0.0,
1036,fix amendment eligibility check,c82282e6,merged,2025-09-11 16:46:50,2025-09-12 07:31:32,14.75,
1037,Feat mbc 401 correction upload doc,6029dd24,merged,2025-09-12 08:34:23,2025-09-17 13:04:30,124.5,
1038,remobe batchType param,f7d61e48,merged,2025-09-15 07:49:54,2025-09-15 07:50:35,0.01,
