id,project_id,calculation_timestamp,metrics_period_start,metrics_period_end,year_week,lead_time,deployment_frequency,change_failure_rate,mttr,cycle_time,throughput,wip,bug_rate,velocity,code_coverage,data_source,project_phase,git_coverage_pct
APG_2021-W13,APG,2026-04-18 14:09:48,2021-03-29,2021-04-04,2021-W13,44196.07,,,,,0,1,0.0,1,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W14,APG,2026-04-18 14:09:48,2021-04-05,2021-04-11,2021-W14,5672.0,,,,5603.97,0,0,0.0,3,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W15,APG,2026-04-18 14:09:48,2021-04-12,2021-04-18,2021-W15,18340.02,,,,5433.06,0,1,0.0,3,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W16,APG,2026-04-18 14:09:48,2021-04-19,2021-04-25,2021-W16,24624.04,,,,2692.11,0,2,0.0,4,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W17,APG,2026-04-18 14:09:48,2021-04-26,2021-05-02,2021-W17,30720.05,,,,5005.96,0,2,0.0,3,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W18,APG,2026-04-18 14:09:48,2021-05-03,2021-05-09,2021-W18,30608.05,,,,4903.42,0,2,0.0,3,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W19,APG,2026-04-18 14:09:48,2021-05-10,2021-05-16,2021-W19,14475.02,,,,4834.49,0,1,0.0,4,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W20,APG,2026-04-18 14:09:48,2021-05-17,2021-05-23,2021-W20,30288.05,,,,2260.28,0,2,0.0,3,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W21,APG,2026-04-18 14:09:48,2021-05-24,2021-05-30,2021-W21,4512.0,,,,4347.15,0,0,0.0,1,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W22,APG,2026-04-18 14:09:48,2021-05-31,2021-06-06,2021-W22,13911.02,,,,4216.25,0,1,0.0,4,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W23,APG,2026-04-18 14:09:48,2021-06-07,2021-06-13,2021-W23,23490.04,,,,2140.49,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W24,APG,2026-04-18 14:09:48,2021-06-14,2021-06-20,2021-W24,19401.63,,,,2952.74,0,2,0.0,5,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W25,APG,2026-04-18 14:09:48,2021-06-21,2021-06-27,2021-W25,3840.0,,,,3685.37,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W26,APG,2026-04-18 14:09:48,2021-06-28,2021-07-04,2021-W26,3774.0,,,,3634.3,0,0,0.0,4,,jira_only,Phase 1 - Jira only,0.0
APG_2021-W27,APG,2026-04-18 14:09:48,2021-07-05,2021-07-11,2021-W27,16276.02,,,,3307.02,0,1,0.0,3,,jira_only,Phase 1 - Jira only,0.0
